Name,PropertyType,HostID,HostName,HostLocation,HostResponseTime,HostResponseRate,RoomType,BedType,MinNights,MaxNights,GuestCount,ExtraGuestCount,GuestWithPay,BedRoomsCount,No_Of_Beds,No_Of_Bathrooms,CancellationPolicy,Price,Currency,Address_Property,Location,LocationCode,Longitude,Latitude,Availability_365,Is_location_exact,Total_ReviewsCount,ReviewScores
Surry Hills Studio - Your Perfect Base in Sydney,Apartment,13764143,Ben,"New South Wales, Australia",Not Specified,100.0,Entire home/apt,Real Bed,10,21,2,0.0,1.0,0.0,1.0,1.0,strict_14_with_grace_period,181.0,AUD,"Surry Hills, NSW, Australia",Australia,AU,151.21554,-33.88029,0,True,64,10.0
Cozy house at Beyoğlu,Apartment,21331922,Ali,İstanbul,within an hour,100.0,Private room,Pull-out Sofa,2,1125,2,60.0,1.0,1.0,1.0,1.0,flexible,58.0,TRY,"Beyoğlu, İstanbul, Turkey",Turkey,TR,28.95825,41.03777,37,False,27,10.0
Easy 1 Bedroom in Chelsea,Apartment,34607505,Scott,"New York, New York, United States",Not Specified,100.0,Entire home/apt,Real Bed,2,1125,2,0.0,1.0,1.0,1.0,1.0,flexible,145.0,USD,"New York, NY, United States",United States,US,-74.00074,40.74577,0,True,1,10.0
Sydney Hyde Park City Apartment (checkin from 6am),Apartment,16187044,Desireé,Australia,within an hour,100.0,Entire home/apt,Real Bed,2,30,2,0.0,1.0,1.0,1.0,1.0,moderate,185.0,AUD,"Darlinghurst, NSW, Australia",Australia,AU,151.21346,-33.87603,265,False,109,10.0
THE Place to See Sydney's FIREWORKS,House,6517277,Kristin,"Sydney, New South Wales, Australia",Not Specified,100.0,Entire home/apt,Real Bed,2,1125,2,0.0,1.0,1.0,1.0,2.5,moderate,250.0,AUD,"Rozelle, NSW, Australia",Australia,AU,151.17956,-33.86296,0,True,0,10.0
Downtown Oporto Inn (room cleaning),Hostel,2649859,Elisabete,"Porto, Porto, Portugal",Not Specified,100.0,Private room,Real Bed,1,1125,2,25.0,2.0,1.0,1.0,1.0,moderate,40.0,EUR-P,"Porto, Porto, Portugal",Portugal,PT,-8.60867,41.1543,359,False,0,10.0
GOLF ROYAL RESİDENCE TAXİM(1+1):3,Serviced apartment,51471538,Ahmet,"Istanbul, İstanbul, Turkey",within an hour,100.0,Entire home/apt,Real Bed,1,1125,4,0.0,1.0,2.0,4.0,1.0,strict_14_with_grace_period,838.0,TRY,"Şişli, İstanbul, Turkey",Turkey,TR,28.98713,41.04841,365,False,3,7.0
GOLF ROYAL RESIDENCE SUİTES(2+1)-2,Serviced apartment,51471538,Ahmet,"Istanbul, İstanbul, Turkey",within an hour,100.0,Entire home/apt,Real Bed,1,1125,6,0.0,1.0,2.0,5.0,2.0,moderate,997.0,TRY,"Şişli, İstanbul, Turkey",Turkey,TR,28.98818,41.04772,365,False,0,10.0
Apartamento zona sul do RJ,Apartment,51915770,Luiz Rodrigo,"Rio de Janeiro, State of Rio de Janeiro, Brazil",Not Specified,100.0,Entire home/apt,Real Bed,1,1125,5,0.0,1.0,3.0,3.0,1.5,flexible,933.0,BRL,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,-43.1825954762751,-22.930541460367934,365,False,0,10.0
A Casa Alegre é um apartamento T1.,Apartment,51920973,Manuela,"Porto, Porto District, Portugal",within a day,100.0,Entire home/apt,Real Bed,7,180,2,0.0,2.0,1.0,1.0,1.0,moderate,40.0,EUR-P,"Vila do Conde, Porto, Portugal",Portugal,PT,-8.75383,41.3596,46,False,12,10.0
The LES Apartment,Apartment,33231070,Mert,"New York, New York, United States",Not Specified,100.0,Entire home/apt,Real Bed,3,1125,3,0.0,1.0,1.0,1.0,1.0,flexible,150.0,USD,"New York, NY, United States",United States,US,-73.98944,40.72063,0,False,0,10.0
2 bedroom Upper east side,Apartment,52004369,Chelsea,"Sea Cliff, New York, United States",Not Specified,100.0,Entire home/apt,Real Bed,2,7,5,0.0,1.0,2.0,2.0,1.0,strict_14_with_grace_period,275.0,USD,"New York, NY, United States",United States,US,-73.95854,40.7664,0,False,9,9.0
Double and triple rooms Blue mosque,Bed and breakfast,52004703,Mehmet Emin,"Istanbul, İstanbul, Turkey",within a few hours,100.0,Private room,Real Bed,1,1125,3,0.0,1.0,1.0,2.0,1.0,moderate,121.0,TRY,"Fatih , İstanbul, Turkey",Turkey,TR,28.98009,41.0062,365,False,29,9.0
Room Close to LGA and 35 mins to Times Square,Apartment,52031360,Cheer,"New York, New York, United States",within an hour,100.0,Private room,Real Bed,2,1125,2,10.0,1.0,1.0,1.0,1.0,strict_14_with_grace_period,46.0,USD,"Queens, NY, United States",United States,US,-73.88025,40.74953,365,True,123,10.0
A bedroom far away from home,Apartment,1017772,Lane,US,within an hour,100.0,Private room,Real Bed,1,10,2,10.0,1.0,1.0,1.0,1.0,strict_14_with_grace_period,45.0,USD,"Queens, NY, United States",United States,US,-73.82257,40.71485,34,True,239,10.0
"Big, Bright & Convenient Sheung Wan",Apartment,11435086,Regg,Hong Kong,Not Specified,100.0,Entire home/apt,Real Bed,2,1125,2,0.0,1.0,0.0,1.0,1.0,moderate,966.0,HKD,"Hong Kong, Hong Kong Island, Hong Kong",Hong Kong,HK,114.15007,22.28422,0,True,1,10.0
