Name,PropertyType,HostID,HostName,HostLocation,HostResponseTime,HostResponseRate,RoomType,BedType,MinNights,MaxNights,GuestCount,ExtraGuestCount,GuestWithPay,BedRoomsCount,No_Of_Beds,No_Of_Bathrooms,CancellationPolicy,Price,Currency,Address_Property,Location,LocationCode,Longitude,Latitude,Availability_365,Is_location_exact,Total_ReviewsCount,ReviewScores
AMAZING VIEWS PENTHOUSE PARK GUELL,Loft,2537484,Enrique,"Barcelona, Cataluña, Spain",within an hour,100.0,Entire home/apt,Real Bed,1,365,2,0.0,2.0,1.0,1.0,1.0,moderate,61.0,EUR,"Barcelona, Catalonia, Spain",Spain,ES,2.16896,41.417,252,True,188,8.0
Super Central Cozy private room,Apartment,68827851,Şerife,"Istanbul, İstanbul, Turkey",Not Specified,100.0,Private room,Real Bed,2,5,4,150.0,1.0,2.0,2.0,1.0,flexible,148.0,TRY,"İstanbul, İstanbul, Turkey",Turkey,TR,29.01941,41.06255,365,True,0,10.0
Oporto Central Flat,Apartment,68819474,Laurinda Nunes,"Vila Nova de Gaia, Porto District, Portugal",within a few hours,100.0,Entire home/apt,Real Bed,28,150,4,0.0,1.0,2.0,4.0,1.0,strict_14_with_grace_period,30.0,EUR-P,"Porto, Porto, Portugal",Portugal,PT,-8.6495,41.1555,144,False,13,10.0
Apart Marcelo - Studio Catete,Apartment,6903777,Marcelo,"Rio de Janeiro, Rio de Janeiro, Brazil",within an hour,100.0,Entire home/apt,Real Bed,3,90,3,20.0,2.0,1.0,1.0,1.0,strict_14_with_grace_period,142.0,BRL,"Rio, Rio de Janeiro, Brazil",Brazil,BR,-43.177426080553545,-22.927577252718976,340,True,0,10.0
"Breathtaking Ocean Beach Condo Kaanapali , Maui!",Apartment,50604783,Karlos,"Hawaii, United States",within an hour,100.0,Entire home/apt,Real Bed,7,90,2,0.0,1.0,1.0,1.0,1.0,strict_14_with_grace_period,150.0,USD,"Lahaina, HI, United States",United States,US,-156.64867,21.00432,0,False,27,9.0
B & B  Room Yoga Garden's Place,House,630252,Aurora,"Oporto, Porto District, Portugal",within an hour,100.0,Private room,Real Bed,1,30,4,10.0,1.0,1.0,3.0,2.0,moderate,25.0,EUR-P,"Porto, Porto, Portugal",Portugal,PT,-8.59097,41.1541,220,True,391,10.0
Green House in  Barra da Tijuca,House,4501614,Patricia,"Rio de Janeiro, Rio de Janeiro, Brazil",within a few hours,92.0,Private room,Real Bed,7,1125,5,100.0,4.0,1.0,7.0,1.0,strict_14_with_grace_period,701.0,BRL,"Rio, Rio de Janeiro, Brazil",Brazil,BR,-43.32473578931987,-23.001941778015905,347,False,2,8.0
Modern luxury Beach House,House,69289887,Marissa,"New South Wales, Australia",Not Specified,100.0,Entire home/apt,Real Bed,5,45,10,200.0,10.0,5.0,6.0,3.5,strict_14_with_grace_period,999.0,AUD,"Mona Vale, NSW, Australia",Australia,AU,151.30735,-33.6907,0,True,3,10.0
"Large, Airy Walk-Up With Rooftop Near the Park",Apartment,13713604,Adam,Hong Kong,Not Specified,100.0,Entire home/apt,Real Bed,5,30,5,0.0,1.0,2.0,2.0,1.0,flexible,2802.0,HKD,"Hong Kong, Hong Kong Island, Hong Kong",Hong Kong,HK,114.1918,22.282,0,True,0,10.0
Apartamento em Oliveira do Douro,Apartment,37907879,Thompson,"Rio de Janeiro, State of Rio de Janeiro, Brazil",within a few hours,100.0,Entire home/apt,Real Bed,2,1125,6,10.0,2.0,3.0,4.0,2.0,strict_14_with_grace_period,50.0,EUR-P,"Oliveira do Douro, Porto, Portugal",Portugal,PT,-8.5906,41.11846,361,True,41,10.0
Renovated 2 Bedroom/2 Bathroom Apartment P0305,Serviced apartment,13826429,Maya,"Montreal, Quebec, Canada",within a few hours,86.0,Entire home/apt,Real Bed,30,1125,7,12.0,6.0,2.0,3.0,2.0,moderate,195.0,CAD,"Mont-Royal, Québec, Canada",Canada,CA,-73.65637,45.5169,365,True,2,9.0
Lovely twin room in central flat,Apartment,55031699,Maria Eulalia,"Barcelona, Catalonia, Spain",within an hour,94.0,Private room,Real Bed,5,1125,2,0.0,1.0,1.0,2.0,1.0,moderate,39.0,EUR,"Barcelona, Catalunya, Spain",Spain,ES,2.17534,41.3843,43,False,93,10.0
Independent room in Rio - Carnival and Rock in Rio,Earth house,69411160,Paulo Henrique,"Rio de Janeiro, State of Rio de Janeiro, Brazil",within a few hours,100.0,Entire home/apt,Real Bed,3,1125,2,35.0,1.0,1.0,1.0,1.0,moderate,67.0,BRL,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,-43.381851403866335,-22.911389514649397,334,True,1,10.0
Casa S. Miguel 6 - The Yellow House,Townhouse,69426488,Ana,"Porto, Porto District, Portugal",within an hour,100.0,Entire home/apt,Real Bed,2,90,8,25.0,4.0,3.0,5.0,2.0,moderate,150.0,EUR-P,"Porto, Porto, Portugal",Portugal,PT,-8.61492,41.14228,310,False,58,10.0
Westin Kaanapali KORVS 2BR OCEAN VIEW,Serviced apartment,36133410,Patty And Beckett,"Eureka, California, United States",within an hour,100.0,Entire home/apt,Real Bed,7,1125,8,0.0,1.0,2.0,4.0,2.0,strict_14_with_grace_period,799.0,USD,"Lahaina, HI, United States",United States,US,-156.69171,20.936890000000002,358,True,5,10.0
Lachine room+Free parking+Airport,Bed and breakfast,34276082,Zzh,"Montreal, Québec, Canada",Not Specified,100.0,Private room,Real Bed,1,1125,3,10.0,1.0,1.0,1.0,1.0,moderate,78.0,CAD,"Montréal, Québec, Canada",Canada,CA,-73.69275,45.44423,0,True,1,10.0
Apartment for the Olympics,Apartment,69532668,Leine,"Rio de Janeiro, State of Rio de Janeiro, Brazil",Not Specified,100.0,Entire home/apt,Real Bed,1,1125,4,0.0,1.0,2.0,3.0,2.0,flexible,1000.0,BRL,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,-43.38976309270332,-22.96986618034955,0,False,0,10.0
High Floor-Ocean View! 2 Bed/2 Ba/1 Pkg WBT#1804,Condominium,69552498,Captain Cook Resorts,"Honolulu, Hawaii, United States",within an hour,100.0,Entire home/apt,Real Bed,3,1125,7,0.0,1.0,2.0,3.0,2.0,super_strict_30,500.0,USD,"Honolulu, HI, United States",United States,US,-157.8238,21.2743,191,True,4,10.0
Calm room Barcelona,Apartment,21059720,Kevin,"Barcelona, Catalonia, Spain",Not Specified,100.0,Private room,Real Bed,1,1125,1,0.0,1.0,1.0,1.0,1.0,flexible,25.0,EUR,"Barcelona, Catalunya, Spain",Spain,ES,2.19001,41.42083,0,False,1,8.0
Cozy Room w/ Office | The Plateau Mont-Royal,Apartment,69632663,Shane,"Montreal, Québec, Canada",within an hour,100.0,Private room,Real Bed,1,1125,2,20.0,1.0,1.0,1.0,1.0,flexible,81.0,CAD,"Montréal, Québec, Canada",Canada,CA,-73.57605,45.53617,270,True,8,9.0
Old Montreal.  ( Rent for at least 12 months),Condominium,45563128,Olga/Andrei,Canada,within an hour,100.0,Entire home/apt,Real Bed,3,1825,2,0.0,1.0,0.0,1.0,1.0,strict_14_with_grace_period,149.0,CAD,"Montreal, QC, Canada",Canada,CA,-73.55591,45.50488,0,False,22,10.0
Private entire second floor,House,69706719,Velma,US,within an hour,100.0,Private room,Real Bed,1,1125,4,0.0,1.0,1.0,1.0,1.0,flexible,75.0,USD,"Captain Cook, HI, United States",United States,US,-155.88241,19.31372,321,True,257,10.0
B4.Walk to MTR 1 min/Economy room/Twin single bed,Apartment,51969157,Jojo,"Flat Rm A9/F, National Court, 242 Nathan Road, Jordan, Hong Kong/九龙佐敦弥敦道240-252号立信大厦9字楼A室",within an hour,100.0,Private room,Real Bed,1,500,2,1000.0,2.0,1.0,2.0,1.0,strict_14_with_grace_period,597.0,HKD,"Hong Kong, Kowloon, Hong Kong",Hong Kong,HK,114.1714,22.30635,348,True,20,9.0
B5.Walk to MTR 1 min/Economy room/Twin single bed,Apartment,51969157,Jojo,"Flat Rm A9/F, National Court, 242 Nathan Road, Jordan, Hong Kong/九龙佐敦弥敦道240-252号立信大厦9字楼A室",within an hour,100.0,Private room,Real Bed,1,500,2,1000.0,2.0,1.0,2.0,1.0,strict_14_with_grace_period,597.0,HKD,"Hong Kong, Kowloon, Hong Kong",Hong Kong,HK,114.17296,22.30547,357,True,14,9.0
Private room (Kurtuluş/İstanbul),Apartment,69792132,Sefa,"Istanbul, İstanbul, Turkey",a few days or more,0.0,Private room,Real Bed,1,1125,4,48.0,1.0,1.0,1.0,1.0,flexible,121.0,TRY,"Şişli, İstanbul, Turkey",Turkey,TR,28.9814,41.0457,365,False,0,10.0
Paradise Mopeds and beds 2 (Shared),House,69846031,Steve,"Honolulu, Hawaii, United States",within an hour,100.0,Shared room,Real Bed,1,1125,1,35.0,1.0,1.0,1.0,1.5,strict_14_with_grace_period,35.0,USD,"Honolulu, HI, United States",United States,US,-157.83768,21.29013,361,True,109,9.0
Country Oasis Retreat,Guest suite,39389132,North Shore Country Living,"Waialua, Hawaii, United States",within an hour,100.0,Entire home/apt,Real Bed,1,1125,2,0.0,1.0,1.0,1.0,1.0,strict_14_with_grace_period,65.0,USD,"Waialua, HI, United States",United States,US,-158.11176,21.57105,348,True,85,10.0
"Clean, comfortable and convenient",Apartment,26586136,Dominique,Hong Kong,within an hour,100.0,Entire home/apt,Real Bed,3,1125,6,0.0,1.0,2.0,2.0,1.0,strict_14_with_grace_period,1099.0,HKD,"Hong Kong , Causeway Bay, Hong Kong",Hong Kong,HK,114.18976,22.27983,0,True,4,10.0
"Comfy Studio with private entrance,  awesome views",Guest suite,15956073,Carol Ann,"Hawaii, United States",within a few hours,100.0,Entire home/apt,Airbed,1,7,2,0.0,1.0,0.0,1.0,1.0,flexible,58.0,USD,"Ocean view, HI, United States",United States,US,-155.77167,19.13933,56,True,83,10.0
"Aloha, Kihei Bay Surf, New Pool and BBQ",Condominium,16130307,John,"Kihei, Hawaii, United States",within a few hours,91.0,Entire home/apt,Real Bed,1,1125,4,50.0,2.0,0.0,2.0,1.0,moderate,277.0,USD,"Kihei, HI, United States",United States,US,-156.4587,20.76445,329,True,127,10.0
Casanova Eixample 4 bedrooms apartment,Apartment,69970452,Maria,ES,within an hour,100.0,Entire home/apt,Real Bed,3,1125,7,20.0,4.0,4.0,4.0,3.0,moderate,420.0,EUR,"Barcelona, Catalunya, Spain",Spain,ES,2.15128,41.39294,295,True,0,10.0
ABEL'S IN DOWNTOWN - THE PLACE TO BE 1 OF 2,Apartment,6989703,Abel,"Porto, Porto District, Portugal",within an hour,100.0,Entire home/apt,Real Bed,1,1125,4,0.0,1.0,2.0,3.0,1.0,moderate,53.0,EUR-P,"Porto, Porto District, Portugal",Portugal,PT,-8.61825,41.14739,280,True,399,10.0
Apartamento Copa3 quartos 11pessoas,Apartment,6990663,Igor,"Rio de Janeiro, Rio de Janeiro, Brazil",within an hour,100.0,Entire home/apt,Real Bed,2,1125,11,0.0,1.0,3.0,8.0,3.0,moderate,298.0,BRL,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,-43.18949500971648,-22.971126460836576,282,False,76,9.0
Experience Dolphins Frolicing on the Kona Coast,House,7624796,Robert,"Arvada, Colorado, United States",within a day,80.0,Entire home/apt,Real Bed,2,1125,8,0.0,1.0,2.0,5.0,2.5,flexible,135.0,USD,"Captain Cook, HI, United States",United States,US,-155.88096,19.39935,271,True,16,10.0
Blue Mosque Special Apartment!,Apartment,70277619,Ramazan,"Istanbul, İstanbul, Turkey",within an hour,100.0,Entire home/apt,Real Bed,5,1125,10,0.0,1.0,3.0,6.0,2.0,strict_14_with_grace_period,765.0,TRY,"faith, blue mosque area, İstanbul, Turkey",Turkey,TR,28.97362,41.00493,357,False,6,10.0
小屋,Apartment,70278258,進念,HK,Not Specified,100.0,Entire home/apt,Real Bed,1,1125,2,0.0,1.0,1.0,2.0,1.0,flexible,502.0,HKD,"Hong Kong, Hong Kong Island, Hong Kong",Hong Kong,HK,114.15234,22.28572,0,True,0,10.0
"Sunny condo, downtown/Village",Apartment,65257158,Yves,"Montreal, Québec, Canada",Not Specified,100.0,Entire home/apt,Real Bed,2,1125,3,25.0,2.0,2.0,2.0,1.0,flexible,150.0,CAD,"Montréal, Québec, Canada",Canada,CA,-73.56223,45.52406,0,True,8,10.0
1201R Newly Renovated Waikiki Stay,Condominium,2349948,Hawaii Dream Realty TEAM,"Honolulu, Hawaii, United States",within an hour,100.0,Entire home/apt,Real Bed,2,1125,2,0.0,1.0,0.0,1.0,1.0,strict_14_with_grace_period,88.0,USD,"Honolulu, HI, United States",United States,US,-157.82357,21.27638,334,True,42,9.0
"1201L Grand Studio, Waikiki BEACH!",Apartment,2349948,Hawaii Dream Realty TEAM,"Honolulu, Hawaii, United States",within an hour,100.0,Entire home/apt,Real Bed,2,1125,2,0.0,1.0,0.0,1.0,1.0,strict_14_with_grace_period,82.0,USD,"Honolulu, HI, United States",United States,US,-157.82463,21.27472,305,True,55,9.0
Stunning Oceanfront. Amazing Views. 2 Bed 2 Baths,Apartment,70428754,Rajeev,"San Jose, California, United States",within a few hours,100.0,Entire home/apt,Real Bed,4,365,7,75.0,6.0,2.0,3.0,2.0,strict_14_with_grace_period,299.0,USD,"Lahaina, HI, United States",United States,US,-156.67924,20.971,132,True,46,10.0
Westin Kaanapali KORVN Studio  v3,Serviced apartment,36133410,Patty And Beckett,"Eureka, California, United States",within an hour,100.0,Entire home/apt,Real Bed,5,1125,4,0.0,1.0,0.0,2.0,1.0,strict_14_with_grace_period,324.0,USD,"Lahaina, HI, United States",United States,US,-156.69268,20.93999,358,True,1,10.0
Large well-lit & quiet room in the Plateau,Apartment,8579366,Yannick,"Montreal, Quebec, Canada",Not Specified,100.0,Private room,Real Bed,2,1125,3,15.0,2.0,1.0,1.0,1.0,moderate,35.0,CAD,"Montréal, Québec, Canada",Canada,CA,-73.58359,45.52143,0,True,7,9.0
home,Apartment,47579953,Kemal,"Istanbul, İstanbul, Turkey",Not Specified,100.0,Private room,Real Bed,10,1125,1,0.0,1.0,1.0,1.0,1.5,flexible,63.0,TRY,"Kadıköy, İstanbul, Turkey",Turkey,TR,29.03163,40.9939,364,False,0,10.0
Hawaii by the Sea~Walk,Apartment,4197248,Adrienne And Christopher,"Kailua-Kona, Hawaii, United States",within an hour,100.0,Entire home/apt,Real Bed,1,1125,4,10.0,2.0,1.0,2.0,1.0,strict_14_with_grace_period,97.0,USD,"Kailua-Kona, HI, United States",United States,US,-155.99708,19.64393,328,False,161,9.0
The Safe Room For You Cirrus Tomtom,Apartment,70622483,Ahmet,"Beyoğlu, İstanbul, Turkey",Not Specified,100.0,Entire home/apt,Real Bed,1,365,4,0.0,1.0,0.0,2.0,1.0,flexible,100.0,TRY,"Beyoğlu, İstanbul, Turkey",Turkey,TR,28.97776,41.03165,0,False,0,10.0
* Room Taste of Real İstanbul,Boutique hotel,21907588,Alihan,Istanbul,within an hour,100.0,Private room,Real Bed,1,500,2,26.0,1.0,1.0,1.0,1.0,flexible,84.0,TRY,"Fatih , İstanbul, Turkey",Turkey,TR,28.97325,41.00353,324,False,18,9.0
Economy Single Room in Kumkapi,Bed and breakfast,6770114,Yilmaz,Istanbul,Not Specified,100.0,Private room,Real Bed,1,1125,1,119.0,1.0,1.0,1.0,1.0,flexible,448.0,TRY,"Istanbul, Istanbul, Turkey",Turkey,TR,28.96508,41.00339,365,False,0,10.0
Artsy 4BR in Plateau by Sonder,Apartment,12243051,Sonder,"San Francisco, California, United States",within an hour,94.0,Entire home/apt,Real Bed,2,1125,8,7.0,8.0,4.0,4.0,1.0,strict_14_with_grace_period,152.0,CAD,"Montreal, QC, Canada",Canada,CA,-73.58256,45.51664,92,True,22,10.0
Big Room private Bath + Kitchen,House,30649536,Michael,"Orinda, California, United States",Not Specified,100.0,Private room,Real Bed,1,1125,2,0.0,1.0,1.0,1.0,1.0,flexible,45.0,USD,"Brooklyn, NY, United States",United States,US,-73.97227,40.64933,0,True,0,10.0
4BR-5BR Hawaiian Dreams Beach House,House,70726608,Geri & Ke'Alii,US,within a few hours,100.0,Entire home/apt,Real Bed,4,1125,10,0.0,10.0,4.0,5.0,1.5,super_strict_60,269.0,USD,"Hauula, HI, United States",United States,US,-157.91711,21.6217,225,False,15,9.0
Modern West Kowloon Based Apartment,Apartment,70727802,Govinda,Hong Kong,within an hour,100.0,Private room,Real Bed,3,1125,1,0.0,1.0,1.0,1.0,1.0,strict_14_with_grace_period,502.0,HKD,"Tai Kok Tsui, Kowloon, Hong Kong",Hong Kong,HK,114.15992,22.32324,89,True,5,10.0
"Heart of Honolulu, 2BD gem! Free Garage Parking!",Apartment,70732041,Tanja,"Honolulu, Hawaii, United States",within an hour,100.0,Entire home/apt,Real Bed,2,30,4,0.0,1.0,2.0,2.0,1.0,strict_14_with_grace_period,165.0,USD,"Honolulu, HI, United States",United States,US,-157.84343,21.30852,289,False,66,10.0
Flatshare in heart of Soho,Apartment,10992442,Delphine,Hong kong,Not Specified,100.0,Private room,Real Bed,5,21,2,0.0,1.0,1.0,1.0,1.0,flexible,2496.0,HKD,"Hong Kong, Hong Kong Island, Hong Kong",Hong Kong,HK,114.14919,22.28174,0,True,0,10.0
New and cozy flat @lemebeach,Apartment,2496682,André,"Rio de Janeiro, Rio de Janeiro, Brazil",within an hour,100.0,Entire home/apt,Real Bed,5,60,3,0.0,1.0,1.0,2.0,1.0,moderate,351.0,BRL,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,-43.16826706478497,-22.962808973823606,349,True,0,10.0
Puamana Ocean Breeze Bungalow,Townhouse,100995,Elise,"Bozeman, Montana, United States",within an hour,100.0,Entire home/apt,Real Bed,3,1125,5,0.0,1.0,2.0,3.0,2.0,strict_14_with_grace_period,245.0,USD,"Lahaina, HI, United States",United States,US,-156.66885,20.86114,96,True,67,10.0
São João,Apartment,17789572,Oporto Trendy Apartments,"Porto, Porto District, Portugal",within an hour,100.0,Entire home/apt,Real Bed,1,1125,5,28.0,4.0,2.0,4.0,2.0,moderate,80.0,EUR-P,"Porto, Grande Porto, Portugal",Portugal,PT,-8.60849,41.14186,230,True,27,10.0
"1 Stop fr. Manhattan! Private Suite,Landmark Block",Townhouse,50124,Orestes,"New York, New York, United States",within an hour,100.0,Private room,Real Bed,3,25,4,70.0,2.0,1.0,2.0,1.0,strict_14_with_grace_period,130.0,USD,"Queens, NY, United States",United States,US,-73.9474,40.74771,176,True,231,10.0
Home mate,Apartment,7041181,Mahmut,"Beşiktaş, Istanbul, Turkey",Not Specified,100.0,Private room,Real Bed,1,1125,3,0.0,1.0,1.0,3.0,1.0,flexible,195.0,TRY,"Istanbul, Istanbul, Turkey",Turkey,TR,29.01035,41.04368,365,False,0,10.0
"Near Airport private room, 2 bedroom granny flat**",Guest suite,71193770,Shuang,"New South Wales, Australia",within an hour,100.0,Private room,Real Bed,1,1125,2,0.0,2.0,1.0,1.0,1.0,moderate,60.0,AUD,"Arncliffe, NSW, Australia",Australia,AU,151.15274,-33.937,84,True,469,10.0
"large, affordable, clean,convenient",Apartment,71211231,Ehsan,US,Not Specified,100.0,Private room,Real Bed,1,1125,1,0.0,1.0,1.0,1.0,1.0,moderate,34.0,USD,"Bronx, NY, United States",United States,US,-73.89872,40.85396,0,True,2,10.0
Quarto durante Olimpíadas/Room for Olympics period,Apartment,71356914,Rafaela,"Rio de Janeiro, State of Rio de Janeiro, Brazil",Not Specified,100.0,Private room,Real Bed,3,1125,2,0.0,1.0,1.0,1.0,1.0,moderate,578.0,BRL,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,-43.188831065587834,-22.97404499063615,358,True,0,10.0
REFÚGIO BOAS VINDAS!,Condominium,71368880,Silvia Carla,"Porto, Porto District, Portugal",within an hour,100.0,Entire home/apt,Real Bed,2,1125,3,10.0,3.0,1.0,2.0,1.0,flexible,35.0,EUR-P,"Porto, Porto, Portugal",Portugal,PT,-8.6006,41.14924,235,False,181,10.0
Cosy rooms close to the metro and the River,Apartment,5591356,Alexia & Denis,"Montreal, Quebec, Canada",within a few hours,100.0,Private room,Real Bed,1,14,5,15.0,1.0,2.0,2.0,1.0,moderate,50.0,CAD,"Montréal, Québec, Canada",Canada,CA,-73.57051,45.45091,297,True,39,10.0
"3bd/2ba Valley House Near Kaimuki, Upstairs",House,26168204,Erika,"Honolulu, Hawaii, United States",within an hour,100.0,Entire home/apt,Real Bed,5,356,8,10.0,4.0,3.0,7.0,2.0,strict_14_with_grace_period,299.0,USD,"Honolulu, HI, United States",United States,US,-157.78934,21.3031,73,True,30,10.0
Olimpíadas no Rio !,Condominium,71680254,Daniel,"Rio de Janeiro, State of Rio de Janeiro, Brazil",Not Specified,100.0,Entire home/apt,Real Bed,5,30,6,0.0,1.0,3.0,5.0,3.0,flexible,560.0,BRL,"Rio de Janeiro, RJ, Brazil",Brazil,BR,-43.37173007478097,-22.886598030977375,365,False,0,10.0
F1 weekend appartement à louer,Apartment,71836886,Veronica,"Montreal, Québec, Canada",Not Specified,100.0,Entire home/apt,Real Bed,3,15,2,0.0,1.0,1.0,1.0,1.0,flexible,240.0,CAD,"Montréal, Québec, Canada",Canada,CA,-73.69114,45.44134,88,True,0,10.0
Room for June Mile End/Little Italy,Apartment,72157506,Chris,"Montreal, Québec, Canada",Not Specified,100.0,Private room,Real Bed,5,28,1,0.0,1.0,1.0,1.0,1.0,flexible,36.0,CAD,"Montréal, Québec, Canada",Canada,CA,-73.6079,45.52967,0,True,0,10.0
"Sunny, private room on St. Denis",Apartment,33813811,Stephanie,"Montreal, Québec, Canada",Not Specified,100.0,Private room,Real Bed,2,1125,2,0.0,1.0,1.0,1.0,1.0,flexible,20.0,CAD,"Montréal, Québec, Canada",Canada,CA,-73.56646,45.51778,0,True,7,10.0
"Aloha Adventure, Family Friendly Tropical Vacation",Apartment,72178968,Ivan,"Calgary, Alberta, Canada",within a few hours,100.0,Entire home/apt,Real Bed,3,1125,6,0.0,1.0,2.0,6.0,1.0,strict_14_with_grace_period,249.0,USD,"Honolulu, HI, United States",United States,US,-157.8326,21.28648,286,True,8,9.0
IPANEMA - EXCELLENT LOCATION !!!,Apartment,7089390,Marcela,"Rio de Janeiro, Rio de Janeiro, Brazil",within an hour,100.0,Entire home/apt,Real Bed,2,1125,2,0.0,1.0,1.0,1.0,1.0,strict_14_with_grace_period,168.0,BRL,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,-43.20997091078295,-22.985866684090066,363,True,227,10.0
City Center Rooftop,Apartment,60271425,Cátia & David,"Porto, Porto District, Portugal",within an hour,100.0,Entire home/apt,Real Bed,2,30,4,10.0,2.0,1.0,2.0,1.0,moderate,75.0,EUR-P,"Porto, Porto, Portugal",Portugal,PT,-8.60757,41.14562,63,False,110,10.0
8th floor Delightful Balcony Suite w/ Ocean Views,Condominium,43793840,Mark,"Honolulu, Hawaii, United States",within an hour,99.0,Entire home/apt,Real Bed,1,1125,2,0.0,1.0,0.0,1.0,1.0,moderate,142.0,USD,"Honolulu, HI, United States",United States,US,-157.82086,21.27285,298,True,41,9.0
Bragas House - Porto Center 2C,House,72363890,Bragas,"Porto, Porto District, Portugal",within an hour,99.0,Private room,Real Bed,2,1125,2,0.0,1.0,1.0,1.0,3.0,moderate,32.0,EUR-P,"Porto, Porto, Portugal",Portugal,PT,-8.61479,41.15309,339,True,73,10.0
Cozy Private Bedroom - Williamsburg,Apartment,1412548,Naomi,"New York, New York, United States",Not Specified,100.0,Private room,Real Bed,3,14,1,0.0,1.0,1.0,1.0,1.0,moderate,60.0,USD,"Brooklyn, NY, United States",United States,US,-73.94224,40.70806,0,True,1,10.0
"Kuhio Shores 215: Oceanfront, AC, Whale Watching Views",Condominium,42618840,Great Vacation Retreats,"Hawaii, United States",within an hour,100.0,Entire home/apt,Real Bed,5,365,6,0.0,1.0,2.0,4.0,2.0,super_strict_60,400.0,USD,"Koloa, HI, United States",United States,US,-159.47467,21.88174,306,False,3,10.0
Ático exclusivo Barcelona,Apartment,23226762,Erika,"Barcelona, Catalonia, Spain",within a few hours,100.0,Entire home/apt,Real Bed,32,1125,6,0.0,1.0,3.0,6.0,2.0,strict_14_with_grace_period,805.0,EUR,"Barcelona, Catalunya, Spain",Spain,ES,2.21275,41.41111,364,False,0,10.0
Cozy apartment with cat at Ferikoy,Apartment,72441964,Serenay,"Istanbul, İstanbul, Turkey",Not Specified,100.0,Private room,Real Bed,1,1125,1,0.0,1.0,1.0,1.0,1.0,flexible,105.0,TRY,"Şişli, İstanbul, Turkey",Turkey,TR,28.97717,41.05221,0,False,0,10.0
"Large 1/1 in Waikiki, (Family Friendly!)",Condominium,72256100,Jean-Michel,"Honolulu, Hawaii, United States",within an hour,100.0,Entire home/apt,Real Bed,5,600,5,0.0,2.0,1.0,3.0,1.0,moderate,119.0,USD,"Honolulu, HI, United States",United States,US,-157.82726,21.28198,46,True,73,10.0
Double room in the middle of Gracia,Apartment,3333326,Anna,"Barcelona, Catalonia, Spain",Not Specified,100.0,Private room,Real Bed,1,1125,2,0.0,1.0,1.0,1.0,1.0,moderate,30.0,EUR,"Barcelona, Catalunya, Spain",Spain,ES,2.15738,41.40113,0,True,28,10.0
Cozy room at the Leme,House,72586802,Ianê,BR,a few days or more,0.0,Private room,Real Bed,2,1125,2,49.0,1.0,1.0,2.0,1.0,flexible,179.0,BRL,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,-43.168716413260725,-22.9606496602252,365,False,0,10.0
Enjoy the summer at sea! Full studio at the beach,Loft,7121880,Carmella,"Rio de Janeiro, Rio de Janeiro, Brazil",within a few hours,70.0,Entire home/apt,Real Bed,2,1125,3,0.0,3.0,1.0,2.0,1.0,moderate,198.0,BRL,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,-43.17466893235061,-22.931361558208607,48,False,6,10.0
Mosman Apartment,Apartment,6750067,Mags,Australia,within a few hours,100.0,Entire home/apt,Real Bed,2,1125,2,0.0,1.0,1.0,1.0,1.0,strict_14_with_grace_period,139.0,AUD,"Mosman, NSW, Australia",Australia,AU,151.23757,-33.83325,332,True,67,9.0
Modern Apartment close to the Beach,Apartment,72879463,Lucia,"Bagunte, Porto, Portugal",Not Specified,100.0,Entire home/apt,Real Bed,2,1125,4,0.0,1.0,2.0,2.0,2.0,strict_14_with_grace_period,120.0,EUR-P,"Vila do Conde, Porto, Portugal",Portugal,PT,-8.74634,41.34608,183,False,13,10.0
"Studio, 20mins from airport,Istanbul Asian side",Serviced apartment,72903056,Seniz,"Istanbul, İstanbul, Turkey",within a few hours,100.0,Entire home/apt,Real Bed,13,180,2,158.0,2.0,1.0,2.0,1.0,strict_14_with_grace_period,121.0,TRY,"İstanbul, İstanbul, Turkey",Turkey,TR,29.15641,40.91298,149,False,8,10.0
Cozy Comfy Suite of Rockaway Beach,House,52188020,John,US,within an hour,100.0,Private room,Real Bed,1,6,3,20.0,2.0,1.0,2.0,1.0,moderate,125.0,USD,"Queens, NY, United States",United States,US,-73.79248,40.59058,363,True,38,9.0
Cozy room very well located - Arc del Trioumf,Apartment,27160648,Kel,"Barcelona, Catalonia, Spain",Not Specified,100.0,Private room,Real Bed,1,9,1,0.0,1.0,1.0,1.0,1.0,flexible,50.0,EUR,"Barcelona, Catalunya, Spain",Spain,ES,2.18338,41.39087,0,True,4,10.0
Haena to re-open in 2019! Ocean Views! Newly added A/C in all rooms! - Haena Kai,House,680107,Kahea,"Hanalei, Hawaii, United States",within an hour,95.0,Entire home/apt,Real Bed,3,60,7,0.0,7.0,3.0,4.0,2.0,strict_14_with_grace_period,604.0,USD,"Haena, HI, United States",United States,US,-159.54745,22.22264,0,True,7,10.0
